id_instancia,fk_pokemon_numero_pokedex,fk_pokebola_id
1,99,85
2,19,47
3,56,143
4,33,34
5,52,93
6,6,144
7,16,21
8,16,92
9,134,109
10,34,127
11,121,23
12,144,106
13,94,108
14,107,146
15,2,91
16,62,101
17,87,50
18,59,87
19,104,24
20,16,33
21,117,139
22,24,78
23,38,106
24,37,65
25,115,126
26,45,51
27,134,141
28,52,73
29,42,12
30,92,62
31,50,127
32,76,78
33,11,117
34,57,47
35,65,117
36,71,48
37,144,17
38,11,21
39,21,85
40,115,118
41,83,27
42,1,44
43,149,126
44,10,141
45,81,64
46,47,40
47,19,57
48,91,66
49,86,84
50,9,128
51,6,120
52,139,62
53,15,62
54,110,65
55,92,96
56,67,16
57,89,70
58,148,135
59,77,83
60,26,88
61,38,126
62,55,103
63,35,48
64,64,148
65,68,147
66,111,105
67,76,122
68,58,86
69,76,145
70,79,88
71,113,105
72,85,125
73,140,142
74,46,75
75,128,95
76,22,52
77,97,93
78,103,115
79,130,28
80,98,116
81,129,89
82,10,117
83,107,15
84,27,82
85,68,148
86,69,12
87,23,55
88,51,98
89,67,88
90,31,77
91,131,32
92,14,58
93,103,134
94,22,99
95,14,125
96,69,1
97,78,37
98,110,11
99,137,16
100,46,43
101,57,52
102,96,137
103,48,3
104,132,34
105,38,27
106,19,17
107,11,142
108,148,44
109,27,131
110,110,52
111,67,128
112,35,70
113,131,97
114,104,137
115,54,29
116,142,144
117,80,129
118,1,114
119,102,47
120,83,113
121,92,64
122,69,70
123,9,135
124,132,53
125,120,25
126,79,27
127,6,38
128,107,97
129,52,148
130,118,23
131,101,148
132,137,81
133,18,102
134,43,76
135,134,88
136,29,59
137,29,138
138,61,94
139,115,2
140,79,46
141,57,45
142,47,149
143,40,104
144,121,146
145,142,72
146,21,61
147,58,28
148,54,104
149,3,55
150,88,137
151,118,108
152,107,71
153,138,74
154,96,77
155,91,2
156,9,18
157,110,2
158,106,12
159,3,78
160,93,15
161,139,23
162,37,92
163,30,16
164,142,127
165,109,9
166,23,21
167,147,27
168,149,125
