id_turno,escudo_1_uso,escudo_2_uso,dano_causado_pokemon_1,dano_causado_pokemon_2,habilidade_pokemon_1,habilidade_pokemon_2,fk_round_id
1,True,False,87,97,39,111,120
2,True,True,26,73,574,471,3
3,False,True,6,76,563,31,92
4,False,False,76,55,578,359,43
5,False,False,38,28,400,157,8
6,True,True,6,99,51,241,40
7,True,True,16,93,256,243,139
8,True,False,3,63,541,102,10
9,True,True,34,99,230,266,159
10,False,True,53,85,276,591,23
11,False,True,14,27,358,83,105
12,True,True,57,90,487,426,123
13,False,True,10,14,104,488,73
14,False,False,48,79,307,520,91
15,False,False,84,81,135,590,107
16,False,True,76,34,170,432,69
17,True,True,3,15,506,115,48
18,False,True,89,58,378,7,62
19,False,False,95,13,495,320,81
20,False,False,57,22,286,186,28
21,True,True,8,87,313,249,82
22,True,True,79,100,533,316,58
23,False,True,31,29,273,127,31
24,True,False,68,28,12,432,37
25,False,True,99,62,317,463,2
26,True,True,54,27,424,41,161
27,False,True,15,4,233,481,136
28,False,True,6,20,6,119,94
29,False,False,69,51,89,280,91
30,False,True,27,88,116,73,25
31,True,False,30,30,310,345,60
32,False,True,77,50,243,355,59
33,False,True,46,48,306,353,54
34,False,False,55,60,459,99,75
35,True,False,36,86,372,253,131
36,True,False,95,57,481,168,59
37,True,False,70,78,15,93,134
38,False,False,35,5,512,566,104
39,False,False,34,99,67,149,41
40,True,True,49,37,92,254,111
41,False,True,81,45,578,547,90
42,True,True,26,99,337,355,135
43,False,False,53,42,17,342,124
44,False,True,72,80,239,152,99
45,True,True,20,7,166,12,20
46,True,False,4,44,461,202,111
47,True,False,64,37,343,305,153
48,True,True,45,10,179,36,96
49,True,True,14,22,55,250,109
50,True,True,70,72,113,325,140
51,True,True,13,61,308,531,167
52,True,True,92,21,518,476,97
53,False,False,72,69,362,277,77
54,True,True,17,39,3,63,6
55,True,False,29,1,69,221,73
56,False,True,70,35,372,59,144
57,True,False,24,83,27,562,102
58,False,True,6,22,427,217,31
59,True,False,23,7,387,200,38
60,False,False,18,23,348,33,90
61,False,True,34,45,546,148,68
62,False,True,41,44,531,213,63
63,True,True,27,66,244,64,3
64,False,False,99,87,524,124,86
65,False,False,65,63,410,416,52
66,False,True,62,87,177,584,3
67,False,True,62,7,144,476,127
68,True,True,2,28,432,551,22
69,False,True,13,54,407,188,114
70,False,True,72,46,300,277,51
71,False,False,82,23,127,97,168
72,True,True,85,73,27,447,43
73,True,False,69,98,520,148,23
74,False,False,74,80,145,349,95
75,False,True,53,86,265,161,15
76,True,True,27,84,105,271,46
77,False,True,77,75,432,247,136
78,True,False,68,5,225,534,148
79,False,True,81,76,255,447,26
80,False,False,20,52,598,409,105
81,True,True,42,38,454,89,130
82,False,True,93,38,341,495,101
83,False,True,98,1,295,380,126
84,True,True,35,51,531,337,105
85,True,True,91,26,10,411,157
86,False,False,8,83,497,114,148
87,False,True,61,85,340,569,138
88,True,True,11,22,84,572,166
89,False,False,35,20,355,145,19
90,False,False,91,4,560,401,99
91,True,True,18,69,591,76,80
92,True,False,92,21,91,271,58
93,True,True,56,37,138,296,2
94,True,False,21,76,412,127,134
95,True,False,55,87,300,302,157
96,True,False,58,6,100,188,66
97,True,False,49,34,206,29,104
98,True,True,33,10,163,242,60
99,True,False,38,73,96,52,34
100,True,True,96,42,203,200,57
101,False,True,43,51,175,570,50
102,False,True,14,19,381,212,114
103,True,False,88,61,245,303,164
104,False,True,3,8,249,503,97
105,True,True,36,66,162,237,1
106,False,False,13,62,211,367,47
107,True,True,60,92,420,404,46
108,True,False,55,17,403,360,38
109,False,False,76,100,568,131,34
110,True,False,88,82,97,492,80
111,True,True,40,10,21,282,125
112,True,False,43,9,368,355,150
113,True,True,13,52,280,181,69
114,False,False,29,88,511,65,137
115,False,False,29,31,41,502,104
116,False,False,79,82,156,206,45
117,True,False,98,9,381,263,152
118,False,False,58,90,287,362,54
119,True,True,97,75,419,251,149
120,False,False,39,99,112,207,83
121,False,False,87,19,341,383,141
122,True,False,84,26,377,341,145
123,False,True,57,88,369,125,125
124,False,False,57,94,560,356,20
125,True,True,100,34,172,225,137
126,False,False,61,99,595,462,49
127,True,False,8,70,230,119,136
128,True,False,87,84,402,583,39
129,True,False,26,49,458,20,143
130,False,True,83,79,324,474,54
131,True,True,88,98,225,210,14
132,False,False,54,46,43,492,128
133,True,True,100,90,289,521,53
134,True,True,58,20,259,553,144
135,False,False,61,15,42,145,29
136,False,True,57,66,190,281,26
137,True,True,22,17,379,136,96
138,True,False,20,57,336,138,155
139,False,False,94,82,442,345,168
140,False,False,86,37,474,381,150
141,True,True,29,47,546,66,27
142,True,True,54,90,48,542,81
143,True,False,24,80,197,542,39
144,False,False,17,17,313,176,134
145,True,True,38,27,403,269,145
146,True,True,26,37,312,464,7
147,False,True,74,4,456,22,101
148,True,False,7,89,555,471,31
149,False,True,40,93,272,252,80
150,False,False,75,54,83,217,132
151,False,True,97,89,300,292,86
152,False,True,8,83,517,149,125
153,False,False,100,22,203,88,35
154,True,True,78,29,434,223,8
155,True,False,2,36,98,242,163
156,True,True,74,79,407,532,72
157,False,False,6,78,437,67,30
158,True,False,37,34,250,355,169
159,False,False,2,92,554,572,139
160,False,True,80,2,363,454,165
161,False,False,61,50,542,273,101
162,True,True,84,84,7,488,169
163,True,False,72,66,184,13,82
164,False,False,1,30,474,309,39
165,True,False,75,84,538,90,74
166,True,True,70,20,303,43,111
167,True,False,95,18,291,179,140
168,True,False,84,27,232,490,93
