id,nome,descricao,dano
0,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
1,cut,Inflicts regular damage.,50
2,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
3,vine-whip,Inflicts regular damage.,45
4,cut,Inflicts regular damage.,50
5,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
6,vine-whip,Inflicts regular damage.,45
7,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
8,cut,Inflicts regular damage.,50
9,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
10,vine-whip,Inflicts regular damage.,45
11,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
12,mega-punch,Inflicts regular damage.,80
13,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
14,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
15,scratch,Inflicts regular damage.,40
16,mega-punch,Inflicts regular damage.,80
17,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
18,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
19,scratch,Inflicts regular damage.,40
20,mega-punch,Inflicts regular damage.,80
21,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
22,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
23,scratch,Inflicts regular damage.,40
24,mega-punch,Inflicts regular damage.,80
25,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
26,mega-kick,Inflicts regular damage.,120
27,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
28,mega-punch,Inflicts regular damage.,80
29,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
30,mega-kick,Inflicts regular damage.,120
31,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
32,mega-punch,Inflicts regular damage.,80
33,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
34,mega-kick,Inflicts regular damage.,120
35,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
36,tackle,Inflicts regular damage.,40
37,snore,Only usable if the user is sleeping.  Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,50
38,bug-bite,"Inflicts regular damage.  If the target is holding a berry, this move has double power, and the user takes the berry and uses it immediately.

If the target is holding a jaboca berry or rowap berry, the berry is still removed, but has no effect.

If this move is super effective and the target is holding a berry that can reduce this move's damage, it will do so, and will not be stolen.",60
39,electroweb,Lowers the target's Speed by one stage.,55
40,bug-bite,"Inflicts regular damage.  If the target is holding a berry, this move has double power, and the user takes the berry and uses it immediately.

If the target is holding a jaboca berry or rowap berry, the berry is still removed, but has no effect.

If this move is super effective and the target is holding a berry that can reduce this move's damage, it will do so, and will not be stolen.",60
41,electroweb,Lowers the target's Speed by one stage.,55
42,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
43,gust,"Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",40
44,poison-sting,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.,15
45,bug-bite,"Inflicts regular damage.  If the target is holding a berry, this move has double power, and the user takes the berry and uses it immediately.

If the target is holding a jaboca berry or rowap berry, the berry is still removed, but has no effect.

If this move is super effective and the target is holding a berry that can reduce this move's damage, it will do so, and will not be stolen.",60
46,electroweb,Lowers the target's Speed by one stage.,55
47,bug-bite,"Inflicts regular damage.  If the target is holding a berry, this move has double power, and the user takes the berry and uses it immediately.

If the target is holding a jaboca berry or rowap berry, the berry is still removed, but has no effect.

If this move is super effective and the target is holding a berry that can reduce this move's damage, it will do so, and will not be stolen.",60
48,cut,Inflicts regular damage.,50
49,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
50,fury-attack,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
51,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
52,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
53,gust,"Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",40
54,wing-attack,Inflicts regular damage.,60
55,fly,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",90
56,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
57,gust,"Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",40
58,wing-attack,Inflicts regular damage.,60
59,fly,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",90
60,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
61,gust,"Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",40
62,wing-attack,Inflicts regular damage.,60
63,fly,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",90
64,cut,Inflicts regular damage.,50
65,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
66,tackle,Inflicts regular damage.,40
67,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
68,cut,Inflicts regular damage.,50
69,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
70,tackle,Inflicts regular damage.,40
71,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
72,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
